Node1 id,Node1 label,Node1 lat,Node1 lon,Node2 id,Node2 label,Node2 lat,Node2 lon,Distance (km),Delay (mks)
0,Los Angeles,34.05223,-118.24368,1,Chennai,13.08784,80.27847,14419.00846553171,69643.81088851816
0,Los Angeles,34.05223,-118.24368,7,New York,40.71427,-74.00597,3935.740662046102,19009.627397682674
0,Los Angeles,34.05223,-118.24368,13,Hong Kong,22.28552,114.15769,11652.961987948629,56283.80640179188
0,Los Angeles,34.05223,-118.24368,14,Singapore,1.28967,103.85007,14123.645190583018,68217.20627051598
1,Chennai,13.08784,80.27847,7,New York,40.71427,-74.00597,13472.590327473854,65072.611281698715
1,Chennai,13.08784,80.27847,8,London,51.50853,-0.12574,8210.81610885233,39658.241805756756
1,Chennai,13.08784,80.27847,9,Mumbai,19.01441,72.84794,1031.5029701806018,4982.159345972306
1,Chennai,13.08784,80.27847,10,Palermo,38.11582,13.35976,7103.499276731497,34309.90150661313
1,Chennai,13.08784,80.27847,11,Marseille,43.3,5.4,7795.853614082483,37653.97295601839
1,Chennai,13.08784,80.27847,13,Hong Kong,22.28552,114.15769,3722.32900350108,17978.849086910217
1,Chennai,13.08784,80.27847,14,Singapore,1.28967,103.85007,2908.045394803141,14045.85925689917
7,New York,40.71427,-74.00597,8,London,51.50853,-0.12574,5570.221325166822,26904.16900055575
7,New York,40.71427,-74.00597,9,Mumbai,19.01441,72.84794,12542.60935359755,60580.80317787617
7,New York,40.71427,-74.00597,11,Marseille,43.3,5.4,6306.70809669518,30461.40010703772
7,New York,40.71427,-74.00597,14,Singapore,1.28967,103.85007,15339.434913352095,74089.47063149062
8,London,51.50853,-0.12574,9,Mumbai,19.01441,72.84794,7194.661200612777,34750.213598959715
8,London,51.50853,-0.12574,11,Marseille,43.3,5.4,1002.3128114273047,4841.170879193882
8,London,51.50853,-0.12574,14,Singapore,1.28967,103.85007,10855.249245897112,52430.853857683054
13,Hong Kong,22.28552,114.15769,14,Singapore,1.28967,103.85007,2587.130108076387,12495.838422008948
