Node1,Node2,Path type,Path,Delay
0,1,main,"[0, 1]",1467.7827605241662
0,1,reserve,"[0, 6, 1]",2719.912716682513
0,2,main,"[0, 2]",5534.40126639271
0,2,reserve,"[0, 6, 2]",5791.3745591452625
0,3,main,"[0, 6, 3]",3410.669931924991
0,3,reserve,"[0, 2, 3]",7930.061006848154
0,4,main,"[0, 7, 4]",3397.9913676565525
0,4,reserve,"[0, 6, 3, 8, 5, 4]",11409.814000950177
0,5,main,"[0, 7, 5]",5798.023036637448
0,5,reserve,"[0, 6, 3, 8, 5]",8650.746841981321
0,6,main,"[0, 6]",626.2058971871535
0,6,reserve,"[0, 7, 6]",2548.8385156775093
0,7,main,"[0, 7]",1586.61238225471
0,7,reserve,"[0, 6, 7]",1588.4320306099528
0,8,main,"[0, 6, 3, 8]",6978.269614832035
0,8,reserve,"[0, 7, 5, 8]",7470.500263786733
0,9,main,"[0, 6, 3, 9]",7228.562443231973
0,9,reserve,"[0, 2, 9]",7555.784232123828
0,10,main,"[0, 7, 5, 14, 10]",13063.371571576228
0,10,reserve,"[0, 6, 3, 9, 13, 10]",14926.780771203395
0,11,main,"[0, 7, 5, 13, 11]",13147.350366651586
0,11,reserve,"[0, 6, 3, 9, 22, 24, 12, 11]",30385.69410266174
0,12,main,"[0, 7, 5, 13, 12]",13359.079044455179
0,12,reserve,"[0, 6, 3, 9, 22, 24, 12]",28912.526097979146
0,13,main,"[0, 7, 5, 13]",11395.451855237307
0,13,reserve,"[0, 6, 3, 9, 13]",11487.375347909805
0,14,main,"[0, 7, 5, 14]",8919.153425556135
0,14,reserve,"[0, 6, 3, 9, 13, 10, 14]",19070.998917223493
0,15,main,"[0, 2, 15]",12660.505683747708
0,15,reserve,"[0, 6, 3, 9, 16, 15]",13406.36130748821
0,16,main,"[0, 2, 16]",8739.705515417842
0,16,reserve,"[0, 6, 3, 9, 16]",9098.93784493652
0,17,main,"[0, 2, 17]",19944.20434561641
0,17,reserve,"[0, 6, 3, 9, 16, 17]",20765.881115726766
0,18,main,"[0, 2, 21, 18]",19435.78978316619
0,18,reserve,"[0, 6, 3, 9, 16, 17, 18]",21349.13922528945
0,19,main,"[0, 2, 20, 19]",20129.444486185777
0,19,reserve,"[0, 6, 3, 9, 16, 17, 19]",24928.66531494671
0,20,main,"[0, 2, 20]",19003.660421962944
0,20,reserve,"[0, 6, 3, 9, 16, 17, 20]",26046.100274816414
0,21,main,"[0, 2, 21]",15299.401164192048
0,21,reserve,"[0, 6, 3, 9, 16, 15, 21]",16289.21440510161
0,22,main,"[0, 6, 3, 9, 22]",19557.426327151377
0,22,reserve,"[0, 2, 21, 22]",19805.010986771413
0,23,main,"[0, 6, 3, 9, 22, 23]",20425.11899857599
0,23,reserve,"[0, 7, 5, 13, 12, 24, 23]",22261.363375052275
0,24,main,"[0, 7, 5, 13, 12, 24]",19940.494665100734
0,24,reserve,"[0, 6, 3, 9, 22, 24]",22331.11047733359
1,2,main,"[1, 0, 2]",7002.184026916875
1,2,reserve,"[1, 6, 2]",7258.875481453468
1,3,main,"[1, 6, 3]",4878.170854233196
1,3,reserve,"[1, 0, 2, 3]",9397.84376737232
1,4,main,"[1, 0, 7, 4]",4865.774128180719
1,4,reserve,"[1, 6, 3, 8, 5, 4]",12877.314923258382
1,5,main,"[1, 0, 7, 5]",7265.8057971616145
1,5,reserve,"[1, 6, 3, 8, 5]",10118.247764289526
1,6,main,"[1, 6]",2093.706819495359
1,6,reserve,"[1, 0, 6]",2093.98865771132
1,7,main,"[1, 0, 7]",3054.3951427788766
1,7,reserve,"[1, 6, 7]",3055.9329529181587
1,8,main,"[1, 6, 3, 8]",8445.77053714024
1,8,reserve,"[1, 0, 7, 5, 8]",8938.283024310898
1,9,main,"[1, 6, 3, 9]",8696.063365540178
1,9,reserve,"[1, 0, 2, 9]",9023.566992647995
1,10,main,"[1, 0, 7, 5, 14, 10]",14531.154332100396
1,10,reserve,"[1, 6, 3, 9, 13, 10]",16394.281693511602
1,11,main,"[1, 0, 7, 5, 13, 11]",14615.133127175754
1,11,reserve,"[1, 6, 3, 9, 22, 24, 12, 11]",31853.195024969944
1,12,main,"[1, 0, 7, 5, 13, 12]",14826.861804979346
1,12,reserve,"[1, 6, 3, 9, 22, 24, 12]",30380.02702028735
1,13,main,"[1, 0, 7, 5, 13]",12863.234615761474
1,13,reserve,"[1, 6, 3, 9, 13]",12954.87627021801
1,14,main,"[1, 0, 7, 5, 14]",10386.9361860803
1,14,reserve,"[1, 6, 3, 9, 13, 10, 14]",20538.499839531698
1,15,main,"[1, 0, 2, 15]",14128.288444271875
1,15,reserve,"[1, 6, 3, 9, 16, 15]",14873.862229796416
1,16,main,"[1, 0, 2, 16]",10207.488275942007
1,16,reserve,"[1, 6, 3, 9, 16]",10566.438767244725
1,17,main,"[1, 0, 2, 17]",21411.987106140576
1,17,reserve,"[1, 6, 3, 9, 16, 17]",22233.38203803497
1,18,main,"[1, 0, 2, 21, 18]",20903.572543690356
1,18,reserve,"[1, 6, 3, 9, 16, 17, 18]",22816.640147597656
1,19,main,"[1, 0, 2, 20, 19]",21597.227246709943
1,19,reserve,"[1, 6, 3, 9, 16, 17, 19]",26396.166237254914
1,20,main,"[1, 0, 2, 20]",20471.443182487114
1,20,reserve,"[1, 6, 3, 9, 16, 17, 20]",27513.601197124623
1,21,main,"[1, 0, 2, 21]",16767.183924716213
1,21,reserve,"[1, 6, 3, 9, 16, 15, 21]",17756.715327409816
1,22,main,"[1, 6, 3, 9, 22]",21024.927249459583
1,22,reserve,"[1, 0, 2, 21, 22]",21272.793747295575
1,23,main,"[1, 6, 3, 9, 22, 23]",21892.619920884194
1,23,reserve,"[1, 0, 7, 5, 13, 12, 24, 23]",23729.146135576444
1,24,main,"[1, 0, 7, 5, 13, 12, 24]",21408.2774256249
1,24,reserve,"[1, 6, 3, 9, 22, 24]",23798.611399641795
2,3,main,"[2, 3]",2395.6597404554445
2,3,reserve,"[2, 9, 3]",5839.275477038101
2,4,main,"[2, 6, 7, 4]",7938.773780782751
2,4,reserve,"[2, 9, 5, 4]",8412.89189204558
2,5,main,"[2, 9, 5]",5653.8247330767235
2,5,reserve,"[2, 3, 8, 5]",7635.736650511774
2,6,main,"[2, 6]",5165.168661958109
2,6,reserve,"[2, 3, 6]",5180.123775193282
2,7,main,"[2, 6, 7]",6127.394795380908
2,7,reserve,"[2, 0, 7]",7121.013648647419
2,8,main,"[2, 9, 8]",3988.0087327505366
2,8,reserve,"[2, 3, 8]",5963.2594233624895
