Node1,Node2,Path type,Path,Delay
0,1,main,"[0, 2, 1]",3019.75720116562
0,1,reserve,"[0, 2, 1]",3019.75720116562
0,2,main,"[0, 2]",1138.851034068122
0,2,reserve,"[0, 2]",1138.851034068122
0,3,main,"[0, 2, 3]",2964.0379339648557
0,3,reserve,"[0, 2, 3]",2964.0379339648557
0,4,main,"[0, 2, 4]",3876.4491561591203
0,4,reserve,"[0, 2, 4]",3876.4491561591203
0,5,main,"[0, 2, 4, 5]",21729.017567690345
0,5,reserve,"[0, 2, 39, 27, 8, 5]",22024.26235014996
0,6,main,"[0, 2, 1, 6]",3562.2192267343626
0,6,reserve,"[0, 2, 4, 7, 6]",7058.098060159399
0,7,main,"[0, 2, 1, 6, 7]",4824.220004621551
0,7,reserve,"[0, 2, 4, 7]",5796.097282272211
0,8,main,"[0, 2, 39, 27, 8]",4445.8620815987615
0,8,reserve,"[0, 2, 4, 33, 8]",6417.672752625422
0,9,main,"[0, 2, 39, 27, 8, 9]",4664.791209178709
0,10,main,"[0, 2, 46, 45, 44, 43, 29, 13, 14, 16, 17, 18, 19, 10]",21206.320036900757
0,11,main,"[0, 2, 46, 45, 44, 43, 29, 13, 14, 16, 21, 11]",21216.54509769997
0,12,main,"[0, 2, 46, 45, 44, 43, 29, 28, 12]",17329.857388870736
0,12,reserve,"[0, 2, 4, 33, 31, 35, 40, 12]",32916.918360520925
0,13,main,"[0, 2, 46, 45, 44, 43, 29, 13]",16266.092196611564
0,13,reserve,"[0, 2, 4, 33, 31, 35, 40, 12, 14, 13]",36293.824262625276
0,14,main,"[0, 2, 46, 45, 44, 43, 29, 13, 14]",17062.764679491058
0,14,reserve,"[0, 2, 4, 33, 31, 35, 40, 12, 14]",35497.151779745785
0,15,main,"[0, 2, 46, 45, 44, 43, 29, 13, 14, 15]",17701.646097229477
0,16,main,"[0, 2, 46, 45, 44, 43, 29, 13, 14, 16]",18189.38911297463
0,17,main,"[0, 2, 46, 45, 44, 43, 29, 13, 14, 16, 17]",19058.594077984613
0,18,main,"[0, 2, 46, 45, 44, 43, 29, 13, 14, 16, 17, 18]",19963.492750112277
0,19,main,"[0, 2, 46, 45, 44, 43, 29, 13, 14, 16, 17, 18, 19]",20396.747076923046
0,20,main,"[0, 2, 46, 45, 44, 43, 29, 13, 14, 16, 23, 20]",20363.125966513508
0,21,main,"[0, 2, 46, 45, 44, 43, 29, 13, 14, 16, 21]",20590.28876804117
0,22,main,"[0, 2, 46, 45, 44, 43, 29, 13, 14, 16, 23, 20, 22]",21368.993653390295
0,23,main,"[0, 2, 46, 45, 44, 43, 29, 13, 14, 16, 23]",19937.694819475728
0,24,main,"[0, 2, 46, 45, 44, 43, 29, 13, 14, 16, 21, 25, 24]",25369.310039944317
0,25,main,"[0, 2, 46, 45, 44, 43, 29, 13, 14, 16, 21, 25]",21287.690026954082
0,26,main,"[0, 2, 39, 27, 26]",3341.7083152078203
0,27,main,"[0, 2, 39, 27]",2496.7282315224757
0,27,reserve,"[0, 2, 4, 33, 27]",8360.673588278461
0,28,main,"[0, 2, 46, 45, 44, 43, 29, 28]",15057.425688980757
0,28,reserve,"[0, 2, 4, 33, 31, 35, 40, 12, 28]",35189.35006041091
0,29,main,"[0, 2, 46, 45, 44, 43, 29]",14572.472489970325
0,29,reserve,"[0, 2, 4, 33, 31, 35, 40, 12, 28, 29]",35674.30325942134
0,30,main,"[0, 2, 4, 33, 30]",5554.648061158075
0,30,reserve,"[0, 2, 46, 45, 44, 43, 29, 28, 12, 40, 35, 31, 30]",44793.049964155725
0,31,main,"[0, 2, 4, 33, 31]",6033.357166787809
0,31,reserve,"[0, 2, 46, 45, 44, 43, 29, 28, 12, 40, 35, 31]",44213.41858260385
0,32,main,"[0, 2, 4, 33, 30, 32]",6437.830104237891
0,33,main,"[0, 2, 4, 33]",5107.201144032204
0,33,reserve,"[0, 2, 39, 27, 33]",5750.200675768733
0,34,main,"[0, 2, 46, 45, 34]",12484.933361607893
0,34,reserve,"[0, 2, 4, 33, 31, 35, 40, 12, 28, 29, 34]",39067.21247912332
0,35,main,"[0, 2, 4, 33, 31, 35]",13497.18232079481
0,35,reserve,"[0, 2, 46, 45, 44, 43, 29, 28, 12, 40, 35]",36749.593428596854
0,36,main,"[0, 2, 4, 33, 31, 36]",11492.844717665697
0,36,reserve,"[0, 2, 46, 45, 44, 43, 29, 28, 12, 40, 35, 36]",39239.68623697743
0,37,main,"[0, 2, 4, 33, 31, 37]",11313.576325877457
0,37,reserve,"[0, 2, 46, 45, 44, 43, 29, 28, 12, 40, 35, 36, 37]",39453.75327104263
0,38,main,"[0, 2, 39, 27, 38]",3780.372905128498
0,38,reserve,"[0, 2, 46, 45, 47, 38]",11580.569540777054
0,39,main,"[0, 2, 39]",1836.487433747954
0,39,reserve,"[0, 2, 39]",1836.487433747954
0,40,main,"[0, 2, 46, 45, 44, 43, 29, 28, 12, 40]",18916.469771125445
0,40,reserve,"[0, 2, 4, 33, 31, 35, 40]",31330.305978266217
0,41,main,"[0, 2, 46, 45, 44, 43, 29, 28, 12, 40, 41]",23127.88042550818
0,42,main,"[0, 2, 46, 45, 34, 42]",18722.731768699763
0,42,reserve,"[0, 2, 4, 33, 31, 35, 40, 41, 42]",41139.14545124882
0,43,main,"[0, 2, 46, 45, 44, 43]",12959.76700443312
0,43,reserve,"[0, 2, 4, 33, 31, 35, 40, 12, 28, 29, 43]",37287.00874495854
0,44,main,"[0, 2, 46, 45, 44]",9768.02608019876
0,44,reserve,"[0, 2, 4, 33, 31, 35, 40, 12, 28, 29, 43, 44]",40478.749669192905
0,45,main,"[0, 2, 46, 45]",6905.308700490515
0,45,reserve,"[0, 2, 39, 27, 38, 47, 45]",8455.633745415038
0,46,main,"[0, 2, 46]",3484.9918288644512
0,46,reserve,"[0, 2, 46]",3484.9918288644512
0,47,main,"[0, 2, 39, 27, 38, 47]",5868.762720835617
0,47,reserve,"[0, 2, 46, 45, 47]",9492.179725069936
1,2,main,"[1, 2]",1880.9061670974975
1,2,reserve,"[1, 6, 7, 4, 2]",6461.709051660021
1,3,main,"[1, 2, 3]",3706.0930669942313
1,3,reserve,"[1, 2, 3]",3706.0930669942313
1,4,main,"[1, 6, 7, 4]",3724.1109295690217
1,4,reserve,"[1, 2, 4]",4618.504289188496
1,5,main,"[1, 6, 7, 4, 5]",21576.679341100244
1,5,reserve,"[1, 2, 39, 27, 8, 5]",22766.317483179333
1,6,main,"[1, 6]",542.4620255687432
1,6,reserve,"[1, 2, 4, 7, 6]",7800.153193188775
1,7,main,"[1, 6, 7]",1804.4628034559316
1,7,reserve,"[1, 2, 4, 7]",6538.152415301586
1,8,main,"[1, 2, 39, 27, 8]",5187.917214628137
1,8,reserve,"[1, 6, 7, 4, 33, 8]",6265.334526035323
1,9,main,"[1, 2, 39, 27, 8, 9]",5406.846342208086
1,9,reserve,"[1, 6, 7, 4, 33, 8, 9]",6484.263653615271
1,10,main,"[1, 2, 46, 45, 44, 43, 29, 13, 14, 16, 17, 18, 19, 10]",21948.37516993014
1,11,main,"[1, 2, 46, 45, 44, 43, 29, 13, 14, 16, 21, 11]",21958.600230729346
1,12,main,"[1, 2, 46, 45, 44, 43, 29, 28, 12]",18071.91252190011
1,12,reserve,"[1, 6, 7, 4, 33, 31, 35, 40, 12]",32764.580133930824
