Node1,Node2,Path type,Path,Delay
0,1,main,"[0, 1]",7189.629108544454
0,1,reserve,"[0, 2, 1]",8918.378908204138
0,2,main,"[0, 2]",4211.410654382737
0,2,reserve,"[0, 1, 2]",11896.597362365854
0,3,main,"[0, 3]",1586.61238225471
0,3,reserve,"[0, 37, 46, 3]",20960.99000896948
0,4,main,"[0, 3, 24, 6, 4]",32131.46537014924
0,4,reserve,"[0, 9, 5, 4]",33945.24922731049
0,5,main,"[0, 3, 24, 5]",31570.10945716775
0,5,reserve,"[0, 9, 5]",31655.10356921822
0,6,main,"[0, 3, 24, 6]",30151.19705939078
0,6,reserve,"[0, 9, 6]",31975.198341834373
0,7,main,"[0, 3, 24, 7]",34593.88307162983
0,7,reserve,"[0, 9, 7]",37051.492830213654
0,8,main,"[0, 9, 8]",30776.479280620544
0,8,reserve,"[0, 3, 24, 5, 8]",32449.646831611786
0,9,main,"[0, 9]",29895.848026960513
0,9,reserve,"[0, 3, 24, 6, 9]",32230.54737426464
0,13,main,"[0, 45, 31, 40, 13]",94031.32265507524
0,13,reserve,"[0, 3, 24, 40, 13]",94126.0661689554
0,20,main,"[0, 45, 30, 20]",60816.006297140004
0,20,reserve,"[0, 43, 31, 20]",64844.02256207198
0,24,main,"[0, 3, 24]",28490.78138281046
0,24,reserve,"[0, 9, 6, 24]",33635.61401841469
0,26,main,"[0, 43, 26]",18864.86909504265
0,26,reserve,"[0, 43, 26]",18864.86909504265
0,28,main,"[0, 45, 31, 40, 39, 28]",90252.93169239118
0,29,main,"[0, 45, 31, 29]",68933.38651990991
0,29,reserve,"[0, 43, 30, 29]",72969.72415326946
0,30,main,"[0, 45, 30]",55285.35271563916
0,30,reserve,"[0, 43, 30]",59105.85930004868
0,31,main,"[0, 45, 31]",56895.852404688165
0,31,reserve,"[0, 43, 31]",60839.03275086955
0,32,main,"[0, 3, 24, 5, 32]",35867.791877444244
0,32,reserve,"[0, 9, 5, 32]",35952.78598949472
0,34,main,"[0, 45, 30, 34]",72936.97976845833
0,34,reserve,"[0, 43, 30, 34]",76757.48635286785
0,35,main,"[0, 45, 30, 35]",69689.66885941423
0,35,reserve,"[0, 43, 31, 29, 35]",78269.41453914164
0,36,main,"[0, 45, 30, 36]",99145.98426324462
0,36,reserve,"[0, 43, 31, 29, 36]",114096.71767862771
0,37,main,"[0, 37]",9188.790335484899
0,37,reserve,"[0, 2, 37]",9808.839472982598
0,38,main,"[0, 37, 38]",10940.688846899178
0,38,reserve,"[0, 44, 38]",28491.787021232754
0,39,main,"[0, 45, 31, 40, 39]",82355.58313528035
0,39,reserve,"[0, 3, 24, 40, 39]",82450.3266491605
0,40,main,"[0, 45, 31, 40]",80826.89172661336
0,40,reserve,"[0, 3, 24, 40]",80921.63524049352
0,41,main,"[0, 45, 31, 40, 41]",85165.40217070901
0,41,reserve,"[0, 3, 24, 40, 41]",85260.14568458917
0,42,main,"[0, 43, 42]",76566.59451654504
0,42,reserve,"[0, 45, 30, 42]",93056.37628566664
0,43,main,"[0, 43]",18780.433139737663
0,43,reserve,"[0, 44, 43]",20210.313880018843
0,44,main,"[0, 44]",17833.12365747141
0,44,reserve,"[0, 37, 44]",18805.202300581237
0,45,main,"[0, 45]",18049.56637256885
0,45,reserve,"[0, 3, 45]",20256.769238461948
0,46,main,"[0, 3, 46]",7121.013648647419
0,46,reserve,"[0, 37, 46]",15426.588742576769
1,2,main,"[1, 2]",4706.9682538214
