Node1 id,Node1 label,Node1 lat,Node1 lon,Node2 id,Node2 label,Node2 lat,Node2 lon,Distance (km),Delay (mks)
0,Washington DC,38.89511,-77.03637,1,Miami,25.77427,-80.19366,1488.5360473176922,7189.629108544454
0,Washington DC,38.89511,-77.03637,2,Atlanta,33.749,-84.38798,871.9276717148525,4211.410654382737
0,Washington DC,38.89511,-77.03637,3,New York City,40.71427,-74.00597,328.4911764502505,1586.61238225471
0,Washington DC,38.89511,-77.03637,9,Amsterdam,52.37403,4.88969,6189.616568728885,29895.848026960513
0,Washington DC,38.89511,-77.03637,37,Dallas,32.78306,-96.80667,1902.441063247391,9188.790335484899
0,Washington DC,38.89511,-77.03637,43,San Jose,37.33939,-121.89496,3888.2884347282948,18780.433139737663
0,Washington DC,38.89511,-77.03637,44,Los Angeles,34.05223,-118.24368,3692.1581071369374,17833.12365747141
0,Washington DC,38.89511,-77.03637,45,Seattle,47.60621,-122.33207,3736.970263471812,18049.56637256885
1,Miami,25.77427,-80.19366,2,Atlanta,33.749,-84.38798,974.5275887828985,4706.9682538214
1,Miami,25.77427,-80.19366,37,Dallas,32.78306,-96.80667,1786.8892822233374,8630.67523313872
2,Atlanta,33.749,-84.38798,37,Dallas,32.78306,-96.80667,1158.8879541614617,5597.42881859986
3,New York City,40.71427,-74.00597,24,London,51.50853,-0.12574,5570.221325166822,26904.16900055575
3,New York City,40.71427,-74.00597,45,Seattle,47.60621,-122.33207,3865.4569060470476,18670.15685620724
3,New York City,40.71427,-74.00597,46,Chicago,41.85003,-87.65005,1145.8387715098777,5534.40126639271
4,Geneva,46.20222,6.14569,5,Frankfurt,50.11667,8.68333,474.15023977065636,2290.1456580922704
4,Geneva,46.20222,6.14569,6,Paris,48.85341,2.3488,409.9934390804261,1980.2683107584583
5,Frankfurt,50.11667,8.68333,8,Dusseldorf,51.22172,6.77616,182.0988352886205,879.537374444037
5,Frankfurt,50.11667,8.68333,9,Amsterdam,52.37403,4.88969,364.2351019167091,1759.255542257705
5,Frankfurt,50.11667,8.68333,24,London,51.50853,-0.12574,637.5420443803913,3079.32807435729
5,Frankfurt,50.11667,8.68333,32,Warsaw,52.22977,21.01178,889.7893209682189,4297.682420276497
6,Paris,48.85341,2.3488,9,Amsterdam,52.37403,4.88969,430.5073115680869,2079.3503148738596
6,Paris,48.85341,2.3488,24,London,51.50853,-0.12574,343.7713616108324,1660.4156765803205
7,Madrid,40.4165,-3.70256,9,Amsterdam,52.37403,4.88969,1481.4999592656602,7155.644803253139
7,Madrid,40.4165,-3.70256,24,London,51.50853,-0.12574,1263.582130190347,6103.101688819376
8,Dusseldorf,51.22172,6.77616,9,Amsterdam,52.37403,4.88969,182.3253113167768,880.631253660032
9,Amsterdam,52.37403,4.88969,30,Tokyo,35.61488,139.5813,9291.435529175043,44877.633605915464
13,Colombo,6.93194,79.84778,40,Singapore,1.28967,103.85007,2733.8366311515265,13204.430928461874
20,Seoul,37.56826,126.97783,30,Tokyo,35.61488,139.5813,1145.062853312802,5530.653581500834
20,Seoul,37.56826,126.97783,31,Osaka,34.69374,135.50218,829.1904371019541,4004.9898112024384
24,London,51.50853,-0.12574,31,Osaka,34.69374,135.50218,9499.204986922068,45881.16008683359
24,London,51.50853,-0.12574,40,Singapore,1.28967,103.85007,10855.249245897112,52430.853857683054
26,Mountain View,37.38605,-122.08385,43,San Jose,37.33939,-121.89496,17.48156424533864,84.43595530498563
28,Rangoon,16.80528,96.15611,39,Kuala Lumpur,3.1412,101.68653,1635.0618130664266,7897.34855711084
29,Hong Kong,22.28552,114.15769,30,Tokyo,35.61488,139.5813,2870.3653940415684,13863.864853220775
29,Hong Kong,22.28552,114.15769,31,Osaka,34.69374,135.50218,2492.2430880376287,12037.534115221746
